职位,公司名,地点,薪酬,发布时间
黑色系金属高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
原油产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
农业品研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,8.4-9.7千/月,11-15
黑色金属研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,8.4-9.7千/月,11-15
有色金属研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,8.4-9.7千/月,11-15
能源化工品研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,8.4-9.7千/月,11-15
图书馆研究员,博芃投资咨询（香港）有限公司,上海-浦东新区,8.4-9.7千/月,11-15
债券研究员,因诺（上海）资产管理有限公司,北京-西城区,1.5-3万/月,11-15
量化投资研究员,因诺（上海）资产管理有限公司,北京-西城区,1-2万/月,11-15
贷后风险策略师,上海数禾信息科技有限公司,上海-浦东新区,1-2万/月,11-15
宏观固收研究员,长江养老保险股份有限公司,上海-浦东新区,1.5-2.5万/月,11-15
产品管理部产品研发与管理岗,长江养老保险股份有限公司,上海-浦东新区,1.5-2.5万/月,11-15
ZSK-互联网产品经理(数字化营销方向),深圳前海微众银行股份有限公司,深圳,2-3万/月,11-15
总部网络金融部 投资顾问,江海证券有限公司深圳分公司,深圳-福田区,30-40万/年,11-15
总部网络金融部 UI设计师,江海证券有限公司深圳分公司,深圳-福田区,15-20万/年,11-15
总部网络金融部 产品运营,江海证券有限公司深圳分公司,深圳-福田区,30-40万/年,11-15
总部网络金融部  营销运营岗,江海证券有限公司深圳分公司,深圳-福田区,30-40万/年,11-15
总部网络金融部  产品经理,江海证券有限公司深圳分公司,深圳-福田区,30-40万/年,11-15
周期行业研究员,中山证券有限责任公司,深圳-南山区,1-2万/月,11-15
信用业务运营支持岗,中山证券有限责任公司,深圳-南山区,1-2万/月,11-15
TMT行业研究员,中山证券有限责任公司,深圳-南山区,1-2万/月,11-15
投行承做岗,中山证券有限责任公司,广州-天河区,1-2万/月,11-15
债券投资经理,深圳嘉石大岩资本管理有限公司,深圳-福田区,2-2.5万/月,11-15
债券研究员,深圳嘉石大岩资本管理有限公司,深圳-福田区,1.5-2万/月,11-15
港股分析师,深圳嘉石大岩资本管理有限公司,深圳-福田区,1.5-2万/月,11-15
投资经理,深圳嘉石大岩资本管理有限公司,深圳-福田区,1.5-2万/月,11-15
产品经理,深圳嘉石大岩资本管理有限公司,深圳-福田区,15-20万/年,11-15
分析师/投资研究员,深圳嘉石大岩资本管理有限公司,深圳-福田区,1.5-2万/月,11-15
债券交易员,深圳嘉石大岩资本管理有限公司,深圳-福田区,1-2万/月,11-15
机器算法工程师,深圳投哪金融服务有限公司,深圳-福田区,2-3万/月,11-15
投资经理,广东中大创业投资管理有限公司,广州-天河区,1-1.5万/月,11-15
风险总监,上海厚本金融信息服务有限公司,上海-浦东新区,4-6万/月,11-15
宏观期货研究员,上海览益信息科技有限公司,上海-静安区,1-2万/月,11-15
宏观研究员,上海览益信息科技有限公司,上海-静安区,1-2万/月,11-15
香港IANG 海外实习生招募,宏飞国际投资咨询（深圳）有限公司,深圳-福田区,0.8-1万/月,11-15
金融投资顾问,宏飞国际投资咨询（深圳）有限公司,深圳-福田区,1-1.5万/月,11-15
投资移民顾问,宏飞国际投资咨询（深圳）有限公司,深圳-福田区,1-1.5万/月,11-15
IFA顾问--针对香港留学生,宏飞国际投资咨询（深圳）有限公司,深圳-福田区,1-1.5万/月,11-15
策划编辑,上海盛尚文化传播有限公司,上海-普陀区,6-8千/月,11-15
资本运作副总裁,深圳市迪蒙网络科技有限公司,深圳-罗湖区,1.5-3万/月,11-15
投融资总监,深圳市迪蒙网络科技有限公司,深圳-罗湖区,1.5-3万/月,11-15
责任编辑（外国文学方向）,中信出版集团股份有限公司,上海-徐汇区,5-7千/月,11-15
策划编辑（外国文学方向）,中信出版集团股份有限公司,上海-徐汇区,0.8-1万/月,11-15
责任编辑/文字编辑/图书编辑,中信出版集团股份有限公司,上海-徐汇区,6-8千/月,11-15
投资并购总监,THE BLOCKCHAINER TECHNOLOGY PTE.LTD./区块链人科技（新加坡）有限公司,上海-浦东新区,2-5万/月,11-15
项目经理,中保控股集团有限公司,广州-天河区,1-2万/月,11-15
量化研究员,中融汇信期货有限公司,上海-浦东新区,10万以上/月,11-15
期货投资咨询员,中融汇信期货有限公司,上海-浦东新区,0.6-1万/月,11-15
硕士海归精英团队,上海益慎资产管理有限公司,上海-静安区,0.6-1万/月,11-15
监察稽核部总监助理,新华基金管理股份有限公司,北京,1.5-2万/月,11-15
协议设计工程师,国广中播传媒技术有限公司,北京-石景山区,0.8-1万/月,11-15
资深算法工程师(J180815016),滴滴出行,北京-海淀区,3-4万/月,11-15
大规模算法开发工程师(J181009021),滴滴出行,北京-海淀区,4-5万/月,11-15
自然语言工程师（NLP）(J181009020),滴滴出行,北京-海淀区,5-7万/月,11-15
投行董事总经理,北京鑫根投资管理有限公司,上海-浦东新区,3-5万/月,11-15
投行董事总经理,北京鑫根投资管理有限公司,上海-浦东新区,3-5万/月,11-15
分析师,北京鑫根投资管理有限公司,异地招聘,0.8-1万/月,11-15
房地产项目投资总监,北京鑫根投资管理有限公司,北京,2-2.5万/月,11-15
分析师,北京鑫根投资管理有限公司,深圳-福田区,0.8-1万/月,11-15
投资总监,北京鑫根投资管理有限公司,北京-朝阳区,2-2.5万/月,11-15
合伙人高级助理,北京鑫根投资管理有限公司,北京-朝阳区,0.8-1万/月,11-15
家电高级行业研究员,上海好伯人力资源咨询有限公司,上海,50-80万/年,11-15
另类项目投资经理,上海好伯人力资源咨询有限公司,上海,40-60万/年,11-15
投资总监-北京（异地招聘）,北京甲乙丙资产管理有限公司,异地招聘,40-50万/年,11-15
总经理-北京（异地招聘）,北京甲乙丙资产管理有限公司,异地招聘,60-100万/年,11-15
投资经理/助理,燕园资本集团,杭州-余杭区,0.8-1.8万/月,11-15
行业研究分析岗,燕园资本集团,异地招聘,0.8-1万/月,11-15
行业研究分析岗,燕园资本集团,异地招聘,0.8-1万/月,11-15
行业研究和投资分析（实习生）,燕园资本集团,北京-海淀区,3-6千/月,11-15
投资经理（生物医药）,燕园资本集团,北京-海淀区,1-2万/月,11-15
投资总监（TMT、生物医药、智造）,燕园资本集团,北京-海淀区,2-4万/月,11-15
投资总监（TMT、生物医药、智造）,燕园资本集团,杭州,2-4万/月,11-15
投资经理/助理,燕园资本集团,异地招聘,0.8-1.8万/月,11-15
行业研究分析岗,燕园资本集团,上海-浦东新区,0.8-1万/月,11-15
投资经理,燕园资本集团,上海-浦东新区,1-1.5万/月,11-15
投资顾问,国信证券深圳深南中路证券营业部,深圳,20-30万/年,11-15
投资经理（TMT方向）,深圳澳银资本管理有限公司,深圳-南山区,1.2-2万/月,11-15
投资经理（医疗）,深圳澳银资本管理有限公司,深圳-南山区,1.2-2万/月,11-15
00025-投资经理,中诚信国际信用评级有限责任公司,北京,30-40万/年,11-15
00024-量化分析师,中诚信国际信用评级有限责任公司,北京,0.9-1.5万/月,11-15
00002-企业融资评级二部分析师,中诚信国际信用评级有限责任公司,北京,0.8-1.2万/月,11-15
00018-金融机构二部分析师,中诚信国际信用评级有限责任公司,北京,0.9-1.5万/月,11-15
投资分析师,中诚信国际信用评级有限责任公司,北京,1-3万/月,11-15
分析师（企业融资评部）,中诚信国际信用评级有限责任公司,北京,1-1.5万/月,11-15
助理分析师,中诚信国际信用评级有限责任公司,上海-黄浦区,0.8-1万/月,11-15
创新业务部分析师,中诚信国际信用评级有限责任公司,北京,10-15万/年,11-15
结构融资评级部分析师,中诚信国际信用评级有限责任公司,北京,10-15万/年,11-15
高级数据科学家,博彦科技股份有限公司,北京-海淀区,2-3.5万/月,11-15
投资管理岗,上海用友产业投资管理有限公司,上海-徐汇区,1.5-2万/月,11-15
研究员,天和思创投资管理有限公司,广州-天河区,1-1.5万/月,11-15
金融产品经理（企业端）,上海恒生聚源数据服务有限公司,上海,1.8-2.8万/月,11-15
金融产品经理（债券）,上海恒生聚源数据服务有限公司,上海,2.5-3万/月,11-15
金融产品经理（资讯）,上海恒生聚源数据服务有限公司,上海,1.5-2万/月,11-15
金融研究员（美股方向）,上海恒生聚源数据服务有限公司,上海,1.5-2万/月,11-15
金融高级研究员（权益部机构方向）,上海恒生聚源数据服务有限公司,上海,1.2-2.4万/月,11-15
金融高级研究员（权益类境外方向）,上海恒生聚源数据服务有限公司,上海,1.5-2.5万/月,11-15
金融高级研究员（权益类指数方向）,上海恒生聚源数据服务有限公司,上海,1.5-2.5万/月,11-15
金融高级研究员（权益类资讯方向）,上海恒生聚源数据服务有限公司,上海,1.5-2.5万/月,11-15
金融研究员（权益部部门经理）,上海恒生聚源数据服务有限公司,上海,1.5-2.5万/月,11-15
宏观研究员,上海恒生聚源数据服务有限公司,上海,1-2万/月,11-15
高级行业研究员（新经济方向）,上海恒生聚源数据服务有限公司,上海,1.5-2.5万/月,11-15
高级行业研究员,上海恒生聚源数据服务有限公司,上海,1.5-2.5万/月,11-15
行业研究员,上海恒生聚源数据服务有限公司,上海,1-2万/月,11-15
医药行业投资总监,浙江华海投资管理有限公司,上海-浦东新区,3-5万/月,11-15
高级投资经理,浙江华海投资管理有限公司,上海-浦东新区,1-3万/月,11-15
编辑,唯存（上海）网络科技有限公司,上海-黄浦区,2-2.5万/月,11-15
Editor,唯存（上海）网络科技有限公司,上海-黄浦区,2-2.5万/月,11-15
投资总监,上海双创投资中心,上海-黄浦区,4-6万/月,11-15
高级营销策划-（产品推广方向）,深圳国泰安教育技术有限公司,深圳-南山区,1-2万/月,11-15
高级活动策划,深圳国泰安教育技术有限公司,深圳-南山区,1-2万/月,11-15
运营经理,深圳国泰安教育技术有限公司,深圳-南山区,1-2万/月,11-15
产品经理,深圳国泰安教育技术有限公司,深圳-南山区,1-2万/月,11-15
数据分析师,深圳国泰安教育技术有限公司,深圳-南山区,1-1.5万/月,11-15
策略分析师,聚信立,上海-徐汇区,1.5-2万/月,11-15
股权投资总经理,深圳市红隼资本管理有限公司,深圳-福田区,2.5-3万/月,11-15
债权投资经理,深圳市红隼资本管理有限公司,深圳-福田区,2-2.5万/月,11-15
产品经理（股权类）,深圳市红隼资本管理有限公司,深圳-福田区,1.5-2万/月,11-15
高级数据分析师,深圳前海大数金融服务有限公司,深圳-南山区,30-40万/年,11-15
数据分析岗,深圳前海大数金融服务有限公司,上海-浦东新区,30-40万/年,11-15
策略分析岗,深圳前海大数金融服务有限公司,上海-浦东新区,20-40万/年,11-15
信用经理（PPP业务）,远东宏信有限公司/远东国际租赁有限公司,上海-浦东新区,1.5-2万/月,11-15
研究员,联合资信评估有限公司,北京,6-8千/月,11-15
信用研究员,联合资信评估有限公司,北京,0.8-1.6万/月,11-15
金融市场经理,联合资信评估有限公司,北京,1-1.5万/月,11-15
工商市场经理,联合资信评估有限公司,北京,1-1.5万/月,11-15
资产证券化分析师,联合资信评估有限公司,北京,1-1.5万/月,11-15
金融分析师,联合资信评估有限公司,北京,1-1.5万/月,11-15
Equity Reserach Analyst(证券分析师) - Oil&Gas,易唯思商务咨询（上海）有限公司,上海-静安区,,11-15
金融产品经理/主管（研究方向）,星华隆咨询（上海）有限公司,上海-虹口区,1-2万/月,11-15
Senior Content Specialist,深圳市逸凡科技有限公司,深圳-福田区,7-9千/月,11-15
能源化工分析师,申银万国期货有限公司,上海,20-50万/年,11-15
有色金属分析师,申银万国期货有限公司,上海,20-50万/年,11-15
黑色分析师,申银万国期货有限公司,上海,20-50万/年,11-15
农产品分析师,申银万国期货有限公司,上海,20-50万/年,11-15
金融期货（期权）分析师,申银万国期货有限公司,上海,20-50万/年,11-15
量化分析师,申银万国期货有限公司,上海,20-50万/年,11-15
宏观（高级）分析师,申银万国期货有限公司,上海,20-50万/年,11-15
研究所副所长/所长助理,申银万国期货有限公司,上海,60-80万/年,11-15
